id,season,episode,scene,line_text,speaker
1,1,1,1,"That's what she said!","Michael Scott"
2,1,1,2,"Bears. Beets. Battlestar Galactica.","Jim Halpert"
3,1,2,1,"I DECLARE BANKRUPTCY!","Michael Scott"
4,2,1,1,"Dwight, you ignorant slut!","Michael Scott"
5,2,3,2,"Identity theft is not a joke, Jim!","Dwight Schrute"
6,1,3,1,"I'm not superstitious, but I am a little stitious.","Michael Scott"
7,2,2,1,"Whenever I'm about to do something, I think, 'Would an idiot do that?' And if they would, I do not do that thing.","Dwight Schrute"
8,3,1,2,"I love inside jokes. I'd love to be a part of one someday.","Michael Scott"
9,1,4,1,"Would I rather be feared or loved? Easy. Both. I want people to be afraid of how much they love me.","Michael Scott"
10,2,5,1,"I am running away from my responsibilities. And it feels good.","Michael Scott"
11,3,2,1,"Sometimes I'll start a sentence and I don't even know where it's going. I just hope I find it along the way.","Michael Scott"
12,1,5,2,"I'm an early bird and a night owl. So I'm wise and I have worms.","Michael Scott"
13,2,4,1,"You miss 100% of the shots you don't take.","Wayne Gretzky","Michael Scott"
14,3,3,1,"I talk a lot, so I've learned to tune myself out.","Kelly Kapoor"
15,1,6,1,"I worked in a paper company for 25 years. A lot of people don't have that kind of patience.","Stanley Hudson"
